FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK__unitschchgs__Purge_Status_Id	Horizon	unitschchgs	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_propscbgth_Purge_Status_Id	Horizon	propscbgth	Purge_Status_Id	Utility	Purge_Status	Id
FK__prsllink__Purge_Status_Id	Horizon	prsllink	Purge_Status_Id	Utility	Purge_Status	Id
FK__projhist__Purge_Status_Id	Horizon	projhist	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_propscdet_Purge_Status_Id	Horizon	propscdet	Purge_Status_Id	Utility	Purge_Status	Id
FK__glfunds__Purge_Status_Id	Horizon	glfunds	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasoblg__Purge_Status_Id	Horizon	leasoblg	Purge_Status_Id	Utility	Purge_Status	Id
FK__codepfle__Purge_Status_Id	Horizon	codepfle	Purge_Status_Id	Utility	Purge_Status	Id
FK__rentdmdhd__Purge_Status_Id	Horizon	rentdmdhd	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_propschdr_Purge_Status_Id	Horizon	propschdr	Purge_Status_Id	Utility	Purge_Status	Id
FK__propreg__Purge_Status_Id	Horizon	propreg	Purge_Status_Id	Utility	Purge_Status	Id
FK__jobs__Purge_Status_Id	Horizon	jobs	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_propscshr_Purge_Status_Id	Horizon	propscshr	Purge_Status_Id	Utility	Purge_Status	Id
FK__chartacc__Purge_Status_Id	Horizon	chartacc	Purge_Status_Id	Utility	Purge_Status	Id
FK__leasbsis__Purge_Status_Id	Horizon	leasbsis	Purge_Status_Id	Utility	Purge_Status	Id
FK_SCD2_Transaction_rating_Purge_Status_Id	Horizon	rating	Purge_Status_Id	Utility	Purge_Status	Id
FK__codeamin__Purge_Status_Id	Horizon	codeamin	Purge_Status_Id	Utility	Purge_Status	Id
FK__hlsemvin__Purge_Status_Id	Horizon	hlsemvin	Purge_Status_Id	Utility	Purge_Status	Id
