TABLE_CATALOG	TABLE_SCHEMA	TABLE_NAME	COLUMN_NAME
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_17
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_18
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_18
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_18
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_18
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_19
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_19
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_19
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_19
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_20
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_20
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_20
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_20
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_21
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_21
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_21
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_21
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_22
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_22
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_22
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_22
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_23
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_23
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_23
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_23
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_24
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_24
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_24
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_24
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_25
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_25
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_25
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_25
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_26
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_26
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_26
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_26
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_27
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_27
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_27
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_27
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_28
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_28
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_28
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_28
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_29
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_29
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_29
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_29
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_30
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_30
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_30
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_30
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_31
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_31
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_31
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_31
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_32
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_32
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_32
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_32
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_33
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_33
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_33
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_33
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_34
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_34
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_34
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Changed_Indicator_34
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Column_Name_35
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	Old_Value_35
nhspsedhdwprod	Reporting	V_EDH_Data_Changes_Snapshot_V1	New_Value_35
